"rank","team","games","points_scored","total_yards","offensive_plays","yards_per_play","turnovers_lost","fumbles_lost","1st_downs","passes_completed","passes_attempted","passing_yards","passing_touchdowns","passing_interceptions","net_yards_per_pass_attempt","passing_1st_downs","rushing_attempts","rushing_yards","rushing_touchdowns","rushing_yards_per_attempt","rushing_1st_downs","penalties","penalty_yards","1st_down_penalties","percentage_scoring_drives","percentage_turnover_drives","expected_points"
"1","Kansas City Chiefs","8","243","3322","536","6.2","9","3","200","219","334","2494","21","6","7.1","138","186","828","8","4.5","43","47","439","19","47.1","8.2","114.68"
"2","Seattle Seahawks","9","241","3238","538","6","12","7","187","207","284","2034","15","5","6.7","105","233","1204","10","5.2","61","66","562","21","44.3","10.3","59.3"
"3","Baltimore Ravens","9","235","3194","551","5.8","9","3","189","160","257","1681","16","6","6.1","86","274","1513","9","5.5","90","48","421","13","45.3","9.5","67.59"
"4","Cincinnati Bengals","9","228","3256","591","5.5","10","4","202","237","337","2367","18","6","6.4","122","222","889","10","4","59","41","274","21","40.6","9.4","86.53"
"5","Philadelphia Eagles","8","225","3128","539","5.8","3","1","188","164","241","1938","12","2","7.4","97","276","1190","16","4.3","76","43","324","15","42.4","3.5","104.61"
"6","Buffalo Bills","8","220","3331","516","6.5","14","6","185","193","305","2337","19","8","7.3","114","195","994","6","5.1","58","43","295","13","45.1","17.1","94.68"
"7","Atlanta Falcons","9","217","2881","525","5.5","12","6","176","124","201","1415","10","6","6.4","78","303","1466","11","4.8","82","39","310","16","39.6","12.1","60.56"
"8","Miami Dolphins","9","213","3424","541","6.3","10","3","187","214","322","2642","18","7","7.8","127","202","782","6","3.9","44","58","454","16","37.6","10.8","76.82"
"9","New Orleans Saints","9","212","3398","572","5.9","17","7","182","204","314","2220","15","10","6.7","106","239","1178","9","4.9","64","62","526","12","37.3","15.7","31.81"
"10","Arizona Cardinals","9","203","3039","623","4.9","9","3","188","242","364","1986","12","6","5.1","110","234","1053","7","4.5","64","64","512","14","33.3","8.6","18.86"
"11","New England Patriots","9","203","2879","547","5.3","17","7","158","181","266","1824","9","10","6.3","87","259","1055","9","4.1","59","52","418","12","35.9","16.5","-9.09"
"12","Cleveland Browns","8","200","3086","538","5.7","12","6","181","163","256","1769","7","6","6.5","90","266","1317","15","5","79","51","413","12","42.9","13.1","67.49"
"13","Jacksonville Jaguars","9","199","3307","580","5.7","13","7","203","198","309","1986","11","6","6.2","108","259","1321","11","5.1","71","54","414","24","36.8","13.7","57.21"
"14","New York Jets","9","196","3015","570","5.3","13","5","165","189","324","1971","10","8","5.7","101","225","1044","10","4.6","48","55","597","16","34.3","12.4","-4.32"
"15","Minnesota Vikings","8","193","2721","511","5.3","8","2","174","200","307","1905","13","6","5.9","107","188","816","10","4.3","48","40","313","19","37","8.7","45.24"
"16","Detroit Lions","8","188","3018","503","6","12","5","166","174","276","1945","14","7","6.7","100","214","1073","9","5","50","51","421","16","36","14","36.24"
"17","Chicago Bears","9","187","2890","546","5.3","12","6","162","111","188","1131","10","6","5.1","56","325","1759","10","5.4","90","45","425","16","39.4","10.6","19.34"
"18","Los Angeles Chargers","8","184","2914","552","5.3","9","4","167","233","351","2201","13","5","6.1","111","191","713","7","3.7","39","46","382","17","38.2","9","32.52"
"19","Dallas Cowboys","8","183","2577","474","5.4","7","2","145","144","237","1525","8","5","6.1","81","225","1052","10","4.7","53","55","418","11","37.5","8","24.03"
"20","Las Vegas Raiders","8","183","2707","480","5.6","7","2","159","179","287","1825","11","5","6","95","174","882","6","5.1","53","50","395","11","46.1","9.2","49.47"
"21","Carolina Panthers","9","179","2609","494","5.3","12","4","129","154","268","1661","9","8","5.7","70","205","948","8","4.6","48","50","452","11","31.3","10.1","-32.63"
"22","San Francisco 49ers","8","176","2853","480","5.9","12","6","158","160","251","1897","12","6","7.1","88","212","956","7","4.5","56","51","358","14","34.5","14.3","42.19"
"23","New York Giants","8","163","2565","511","5","8","5","163","144","223","1273","6","3","5.1","71","263","1292","10","4.9","73","54","427","19","40.2","6.1","33.54"
"24","Tampa Bay Buccaneers","9","162","2986","595","5","7","6","178","260","398","2440","10","1","5.9","125","183","546","3","3","35","51","413","18","35","5","4.33"
"25","Washington Commanders","9","159","2911","592","4.9","11","2","175","202","324","1939","15","9","5.5","101","239","972","4","4.1","56","52","503","18","25.9","10.2","-21.31"
"26","Green Bay Packers","9","154","3108","568","5.5","13","6","178","211","326","2022","14","7","5.9","99","224","1086","3","4.8","62","56","427","17","27.1","12.5","7.63"
"27","Tennessee Titans","8","149","2228","445","5","9","5","125","107","176","1090","6","4","5.6","59","249","1138","10","4.6","53","53","432","13","29.5","6.8","-3.39"
"28","Houston Texans","8","133","2324","466","5","9","1","134","162","259","1509","10","8","5.4","69","188","815","3","4.3","49","43","334","16","30.7","10.2","-22.31"
"29","Indianapolis Colts","9","132","2836","595","4.8","17","7","170","235","349","2056","9","10","5.4","114","211","780","3","3.7","44","47","387","12","27.2","16.5","-56.5"
"30","Los Angeles Rams","8","131","2288","486","4.7","13","5","140","196","287","1741","8","8","5.5","99","171","547","6","3.2","30","32","308","11","29.4","15.3","-23.3"
"31","Denver Broncos","8","121","2631","509","5.2","9","4","136","158","274","1764","6","5","5.9","79","211","867","5","4.1","43","70","600","14","28","8.6","-25.26"
"32","Pittsburgh Steelers","8","120","2392","506","4.7","14","4","147","192","295","1633","6","10","5.2","93","190","759","4","4","44","51","358","10","27.3","13.6","-34.08"
